Countries,Count,Region
Argentina,1,Americas
Bougainville,3,Asia and Pacific
Cambodia,1,Asia and Pacific
Colombia,9,Americas
Costa Rica,1,Americas
El Salvador,4,Americas
France,1,Europe and Eurasia
Germany,1,Europe and Eurasia
Guatemala,3,Americas
Honduras,1,Americas
Liberia,11,Africa (excl MENA)
Morocco,1,Middle East and North Africa
Mozambique,2,Africa (excl MENA)
Nicaragua,6,Americas
Papua New Guinea,3,Asia and Pacific
Russia,1,Europe and Eurasia
South Africa,3,Africa (excl MENA)
United Kingdom,2,Europe and Eurasia
United States of America,1,Americas
Western Sahara,1,Middle East and North Africa
Yemen,1,Middle East and North Africa
