Countries,Region,Count
Abkhazia,Europe and Eurasia,51
Aceh,Asia and Pacific,19
Afghanistan,Europe and Eurasia,21
African Great Lakes,Africa (excl MENA),5
Air and Azawad,Africa (excl MENA),4
Algeria,Middle East and North Africa,6
Angola,Africa (excl MENA),17
Anjouan,Africa (excl MENA),8
Argentina,Americas,2
Armenia,Europe and Eurasia,24
Assam,Asia and Pacific,1
Aweil Counties,Africa (excl MENA),1
Azawad,Africa (excl MENA),19
Azerbaijan,Europe and Eurasia,24
Bahrain,Middle East and North Africa,5
Bangladesh,Asia and Pacific,1
Basque Country,Europe and Eurasia,3
Bodoland,Asia and Pacific,3
Bosnia and Herzegovina,Europe and Eurasia,133
Bougainville,Asia and Pacific,35
Burundi,Africa (excl MENA),29
Cabinda ,Africa (excl MENA),1
Cambodia,Asia and Pacific,6
Cameroon,Africa (excl MENA),2
Casamance,Africa (excl MENA),2
Central African Republic,Africa (excl MENA),24
Chad,Africa (excl MENA),14
Chechnya,Europe and Eurasia,21
China,Asia and Pacific,16
Chittagong Hill Tracts,Asia and Pacific,1
Colombia,Americas,129
Comoros,Africa (excl MENA),8
Cordillera,Asia and Pacific,1
Costa Rica,Americas,1
Cote d'Ivoire,Africa (excl MENA),19
Croatia,Europe and Eurasia,46
Darfur,Africa (excl MENA),25
Darjeeling,Asia and Pacific,3
Democratic Republic of Congo,Africa (excl MENA),31
Djibouti,Africa (excl MENA),4
East Timor,Asia and Pacific,6
Eastern Sudan,Africa (excl MENA),1
Ecuador,Americas,14
El Salvador,Americas,15
Eritrea,Africa (excl MENA),12
Ethiopia,Africa (excl MENA),15
France,Europe and Eurasia,1
Gabon,Africa (excl MENA),1
Georgia,Europe and Eurasia,64
Germany,Europe and Eurasia,1
Gogrial West County,Africa (excl MENA),1
Guatemala,Americas,19
Guinea,Africa (excl MENA),2
Guinea-Bissau,Africa (excl MENA),6
Haiti,Americas,4
Honduras,Americas,3
India,Asia and Pacific,30
Indonesia,Asia and Pacific,22
Iraq,Middle East and North Africa,11
Ireland,Europe and Eurasia,34
Israel,Middle East and North Africa,35
Japan,Asia and Pacific,1
Jordan,Middle East and North Africa,4
Kazakhstan,Europe and Eurasia,2
Kenya,Africa (excl MENA),31
Kosovo,Europe and Eurasia,24
Kurds-Kurdistan,Middle East and North Africa,3
Kuwait,Middle East and North Africa,1
Kyrgyzstan,Europe and Eurasia,1
Lebanon,Middle East and North Africa,7
Lesotho,Africa (excl MENA),5
Liberia,Africa (excl MENA),30
Libya,Middle East and North Africa,40
Macedonia,Europe and Eurasia,1
Madagascar,Africa (excl MENA),11
Mali,Africa (excl MENA),21
Manipur,Asia and Pacific,1
Mexico,Americas,6
Mindanao,Asia and Pacific,126
Mizoram,Asia and Pacific,3
Moldova,Europe and Eurasia,6
Moluccas,Asia and Pacific,2
Mongolia,Europe and Eurasia,3
Mopti,Africa (excl MENA),1
Morocco,Middle East and North Africa,11
Mozambique,Africa (excl MENA),13
Myanmar,Asia and Pacific,35
Nagaland,Asia and Pacific,6
Nagorno-Karabakh,Europe and Eurasia,24
Namibia,Africa (excl MENA),4
Nepal,Asia and Pacific,51
Nicaragua,Americas,8
Niger,Africa (excl MENA),5
Nigeria,Africa (excl MENA),12
North Korea,Asia and Pacific,10
Northern Ireland,Europe and Eurasia,34
Ogaden,Africa (excl MENA),5
Ossetia,Europe and Eurasia,14
Pakistan,Asia and Pacific,14
Palestine,Middle East and North Africa,43
Papua New Guinea,Asia and Pacific,34
Peru,Americas,14
Philippines,Asia and Pacific,158
Plateau State,Africa (excl MENA),5
Portugal,Europe and Eurasia,1
Presevo Valley,Europe and Eurasia,3
Puntland,Africa (excl MENA),10
Rebolusyonaryong Alyansang Makabansa (SFP-YOU) ,Asia and Pacific,1
Rebolusyonaryong Partido ng Manggagawa-Pilipineas (RPMP-RPA-ABB),Asia and Pacific,2
Republic of Congo,Africa (excl MENA),7
Russia,Europe and Eurasia,74
Rwanda,Africa (excl MENA),16
Saudi Arabia,Middle East and North Africa,2
Senegal,Africa (excl MENA),2
Serbia,Europe and Eurasia,27
Sierra Leone,Africa (excl MENA),9
Slovenia,Europe and Eurasia,3
Solomon Islands,Asia and Pacific,3
Somalia,Africa (excl MENA),55
Somaliland,Africa (excl MENA),1
South Africa,Africa (excl MENA),16
South Korea,Asia and Pacific,7
South Sudan,Africa (excl MENA),102
Southern Kaduna,Africa (excl MENA),1
Southern Kordofan - Blue Nile - Abyei,Africa (excl MENA),18
Spain,Europe and Eurasia,3
Sri Lanka,Asia and Pacific,25
Sudan,Africa (excl MENA),102
Syria,Middle East and North Africa,85
Tajikistan,Europe and Eurasia,22
Taliban,Europe and Eurasia,6
Tanzania,Africa (excl MENA),4
Terekeka,Africa (excl MENA),1
Thailand,Asia and Pacific,1
Togo,Africa (excl MENA),3
Transdniestria,Europe and Eurasia,6
Tripura,Asia and Pacific,1
Tunisia,Middle East and North Africa,1
Turkey,Europe and Eurasia,1
Twic County,Africa (excl MENA),1
Uganda,Africa (excl MENA),26
Ukraine,Europe and Eurasia,6
United Kingdom,Europe and Eurasia,37
United Nations,Other,3
United States of America,Americas,6
Venezuela,Americas,1
Western Sahara,Middle East and North Africa,11
Yemen,Middle East and North Africa,48
Yugoslavia (former),Europe and Eurasia,208
Zambia,Africa (excl MENA),4
Zimbabwe,Africa (excl MENA),3
