Count,Reg,Country,HDI
21,Cross-regional,Afghanistan,168
6,Middle East and North Africa,Algeria,85
17,Africa (excl MENA),Angola,147
2,Cross-regional,Argentina,47
24,Europe and Eurasia,Armenia,83
24,Europe and Eurasia,Azerbaijan,80
5,Middle East and North Africa,Bahrain,43
1,Asia and Pacific,Bangladesh,136
133,Europe and Eurasia,Bosnia and Herzegovina,77
29,Africa (excl MENA),Burundi,185
6,Asia and Pacific,Cambodia,146
2,Africa (excl MENA),Cameroon,151
24,Africa (excl MENA),Central African Republic,188
14,Africa (excl MENA),Chad,186
16,Cross-regional,China,86
129,Americas,Colombia,90
8,Africa (excl MENA),Comoros,165
1,Americas,Costa Rica,63
46,Europe and Eurasia,Croatia,46
4,Africa (excl MENA),Djibouti,172
14,Americas,Ecuador,86
15,Americas,El Salvador,121
12,Africa (excl MENA),Eritrea,179
15,Africa (excl MENA),Ethiopia,173
1,Cross-regional,France,24
1,Africa (excl MENA),Gabon,110
64,Europe and Eurasia,Georgia,70
1,Cross-regional,Germany,5
19,Americas,Guatemala,127
2,Africa (excl MENA),Guinea,175
6,Africa (excl MENA),Guinea-Bissau,177
4,Americas,Haiti,168
3,Americas,Honduras,133
30,Asia and Pacific,India,130
22,Cross-regional,Indonesia,116
11,Cross-regional,Iraq,120
34,Europe and Eurasia,Ireland,4
35,Middle East and North Africa,Israel,22
1,Cross-regional,Japan,19
4,Middle East and North Africa,Jordan,95
2,Cross-regional,Kazakhstan,58
31,Africa (excl MENA),Kenya,142
1,Middle East and North Africa,Kuwait,56
1,Cross-regional,Kyrgyzstan,122
7,Middle East and North Africa,Lebanon,80
5,Africa (excl MENA),Lesotho,159
30,Africa (excl MENA),Liberia,181
40,Middle East and North Africa,Libya,108
11,Africa (excl MENA),Madagascar,161
21,Africa (excl MENA),Mali,182
6,Americas,Mexico,74
3,Cross-regional,Mongolia,92
11,Middle East and North Africa,Morocco,123
13,Africa (excl MENA),Mozambique,180
35,Asia and Pacific,Myanmar,148
4,Africa (excl MENA),Namibia,129
51,Asia and Pacific,Nepal,149
8,Americas,Nicaragua,124
5,Africa (excl MENA),Niger,189
12,Africa (excl MENA),Nigeria,157
14,Cross-regional,Pakistan,150
34,Asia and Pacific,Papua New Guinea,153
14,Americas,Peru,89
158,Asia and Pacific,Philippines,113
1,Cross-regional,Portugal,41
16,Africa (excl MENA),Rwanda,158
2,Middle East and North Africa,Saudi Arabia,39
2,Africa (excl MENA),Senegal,164
27,Europe and Eurasia,Serbia,67
9,Africa (excl MENA),Sierra Leone,184
3,Europe and Eurasia,Slovenia,25
3,Asia and Pacific,Solomon Islands,152
16,Africa (excl MENA),South Africa,113
102,Africa (excl MENA),South Sudan,187
3,Europe and Eurasia,Spain,26
25,Asia and Pacific,Sri Lanka,76
102,Africa (excl MENA),Sudan,167
22,Europe and Eurasia,Tajikistan,127
1,Asia and Pacific,Thailand,83
3,Africa (excl MENA),Togo,165
1,Middle East and North Africa,Tunisia,95
1,Cross-regional,Turkey,64
26,Africa (excl MENA),Uganda,162
6,Europe and Eurasia,Ukraine,88
37,Europe and Eurasia,United Kingdom,14
48,Middle East and North Africa,Yemen,178
4,Africa (excl MENA),Zambia,144
3,Africa (excl MENA),Zimbabwe,156
